Revit_Category,Parameter_Name,Parameter_GUID,Data_Type,Group_Name,Binding_Type,Description,Has_Formula,Formula,Input_Parameters,Discipline,User_Modifiable,Hide_When_No_Value
Walls,MAT_TAG_3_TXT,04883c90-411f-4ab5-b937-2909c54fdf65,TEXT,MAT_INFO,Type,"Material procurement tag: name, manufacturer, spec clause [ISO 19650-1:2018]",False,,,,1,0
Windows,MAT_TAG_3_TXT,04883c90-411f-4ab5-b937-2909c54fdf65,TEXT,MAT_INFO,Type,"Material procurement tag: name, manufacturer, spec clause [ISO 19650-1:2018]",False,,,,1,0
Air Terminals,MAT_TAG_4_TXT,1d5e82d6-e988-4e9d-8be1-e195f2782041,TEXT,MAT_INFO,Type,"Material cost tag: code, unit cost UGX, durability [ISO 19650-1:2018]",False,,,,1,0
Cable Trays,MAT_TAG_4_TXT,1d5e82d6-e988-4e9d-8be1-e195f2782041,TEXT,MAT_INFO,Type,"Material cost tag: code, unit cost UGX, durability [ISO 19650-1:2018]",False,,,,1,0
Casework,MAT_TAG_4_TXT,1d5e82d6-e988-4e9d-8be1-e195f2782041,TEXT,MAT_INFO,Type,"Material cost tag: code, unit cost UGX, durability [ISO 19650-1:2018]",False,,,,1,0
Ceilings,MAT_TAG_4_TXT,1d5e82d6-e988-4e9d-8be1-e195f2782041,TEXT,MAT_INFO,Type,"Material cost tag: code, unit cost UGX, durability [ISO 19650-1:2018]",False,,,,1,0
Conduits,MAT_TAG_4_TXT,1d5e82d6-e988-4e9d-8be1-e195f2782041,TEXT,MAT_INFO,Type,"Material cost tag: code, unit cost UGX, durability [ISO 19650-1:2018]",False,,,,1,0
Curtain Panels,MAT_TAG_4_TXT,1d5e82d6-e988-4e9d-8be1-e195f2782041,TEXT,MAT_INFO,Type,"Material cost tag: code, unit cost UGX, durability [ISO 19650-1:2018]",False,,,,1,0
Curtain Wall Mullions,MAT_TAG_4_TXT,1d5e82d6-e988-4e9d-8be1-e195f2782041,TEXT,MAT_INFO,Type,"Material cost tag: code, unit cost UGX, durability [ISO 19650-1:2018]",False,,,,1,0
Doors,MAT_TAG_4_TXT,1d5e82d6-e988-4e9d-8be1-e195f2782041,TEXT,MAT_INFO,Type,"Material cost tag: code, unit cost UGX, durability [ISO 19650-1:2018]",False,,,,1,0
Ducts,MAT_TAG_4_TXT,1d5e82d6-e988-4e9d-8be1-e195f2782041,TEXT,MAT_INFO,Type,"Material cost tag: code, unit cost UGX, durability [ISO 19650-1:2018]",False,,,,1,0
Electrical Equipment,MAT_TAG_4_TXT,1d5e82d6-e988-4e9d-8be1-e195f2782041,TEXT,MAT_INFO,Type,"Material cost tag: code, unit cost UGX, durability [ISO 19650-1:2018]",False,,,,1,0
Electrical Fixtures,MAT_TAG_4_TXT,1d5e82d6-e988-4e9d-8be1-e195f2782041,TEXT,MAT_INFO,Type,"Material cost tag: code, unit cost UGX, durability [ISO 19650-1:2018]",False,,,,1,0
Floors,MAT_TAG_4_TXT,1d5e82d6-e988-4e9d-8be1-e195f2782041,TEXT,MAT_INFO,Type,"Material cost tag: code, unit cost UGX, durability [ISO 19650-1:2018]",False,,,,1,0
Furniture,MAT_TAG_4_TXT,1d5e82d6-e988-4e9d-8be1-e195f2782041,TEXT,MAT_INFO,Type,"Material cost tag: code, unit cost UGX, durability [ISO 19650-1:2018]",False,,,,1,0
Generic Models,MAT_TAG_4_TXT,1d5e82d6-e988-4e9d-8be1-e195f2782041,TEXT,MAT_INFO,Type,"Material cost tag: code, unit cost UGX, durability [ISO 19650-1:2018]",False,,,,1,0
Lighting Fixtures,MAT_TAG_4_TXT,1d5e82d6-e988-4e9d-8be1-e195f2782041,TEXT,MAT_INFO,Type,"Material cost tag: code, unit cost UGX, durability [ISO 19650-1:2018]",False,,,,1,0
Mechanical Equipment,MAT_TAG_4_TXT,1d5e82d6-e988-4e9d-8be1-e195f2782041,TEXT,MAT_INFO,Type,"Material cost tag: code, unit cost UGX, durability [ISO 19650-1:2018]",False,,,,1,0
Pipe Accessories,MAT_TAG_4_TXT,1d5e82d6-e988-4e9d-8be1-e195f2782041,TEXT,MAT_INFO,Type,"Material cost tag: code, unit cost UGX, durability [ISO 19650-1:2018]",False,,,,1,0
Pipe Fittings,MAT_TAG_4_TXT,1d5e82d6-e988-4e9d-8be1-e195f2782041,TEXT,MAT_INFO,Type,"Material cost tag: code, unit cost UGX, durability [ISO 19650-1:2018]",False,,,,1,0
Pipes,MAT_TAG_4_TXT,1d5e82d6-e988-4e9d-8be1-e195f2782041,TEXT,MAT_INFO,Type,"Material cost tag: code, unit cost UGX, durability [ISO 19650-1:2018]",False,,,,1,0
Plumbing Equipment,MAT_TAG_4_TXT,1d5e82d6-e988-4e9d-8be1-e195f2782041,TEXT,MAT_INFO,Type,"Material cost tag: code, unit cost UGX, durability [ISO 19650-1:2018]",False,,,,1,0
Plumbing Fixtures,MAT_TAG_4_TXT,1d5e82d6-e988-4e9d-8be1-e195f2782041,TEXT,MAT_INFO,Type,"Material cost tag: code, unit cost UGX, durability [ISO 19650-1:2018]",False,,,,1,0
Ramps,MAT_TAG_4_TXT,1d5e82d6-e988-4e9d-8be1-e195f2782041,TEXT,MAT_INFO,Type,"Material cost tag: code, unit cost UGX, durability [ISO 19650-1:2018]",False,,,,1,0
Roofs,MAT_TAG_4_TXT,1d5e82d6-e988-4e9d-8be1-e195f2782041,TEXT,MAT_INFO,Type,"Material cost tag: code, unit cost UGX, durability [ISO 19650-1:2018]",False,,,,1,0
