ParameterGroup,ParameterName,GUID,DataType,BindingType,Description,RevitCategory
BLE_ELES,BLE_FINISH_TYPE_TXT,6a27052a-a488-5eaf-bb20-427b56ae8d28,TEXT,Type,Type of Finish Classification,Windows
BLE_ELES,BLE_FLR_FINISH_THICKNESS_MM,50b540f5-e8bb-5fe3-ada8-985d4443b189,LENGTH,Type,FINISHTHICKNESS(MM),Doors
BLE_ELES,BLE_FLR_FINISH_THICKNESS_MM,50b540f5-e8bb-5fe3-ada8-985d4443b189,LENGTH,Type,FINISHTHICKNESS(MM),Windows
BLE_ELES,BLE_FLR_FINISH_TXT,0d0457b1-3847-5da5-87e9-ac88a720b1c8,TEXT,Type,FLOORFINISH,Doors
BLE_ELES,BLE_FLR_FINISH_TXT,0d0457b1-3847-5da5-87e9-ac88a720b1c8,TEXT,Type,FLOORFINISH,Windows
BLE_ELES,BLE_FLR_IMPACT_SOUND_INS_DB,ba022bef-4122-5b20-b6c3-56a639a9a5ec,NUMBER,Type,IMPACTSOUNDINSULATION(DB),Doors
BLE_ELES,BLE_FLR_IMPACT_SOUND_INS_DB,ba022bef-4122-5b20-b6c3-56a639a9a5ec,NUMBER,Type,IMPACTSOUNDINSULATION(DB),Windows
BLE_ELES,BLE_FLR_LD_CAP_KPA,c9176e37-501e-5f2a-b4b4-0b66a37f88b5,VOLUME,Type,LOADCAPACITY(KPA),Doors
BLE_ELES,BLE_FLR_LD_CAP_KPA,c9176e37-501e-5f2a-b4b4-0b66a37f88b5,VOLUME,Type,LOADCAPACITY(KPA),Windows
BLE_ELES,BLE_FLR_LVL_NR,d794c645-b8c7-5465-82d3-2cd1a64a061c,NUMBER,Instance,FLOORLEVEL,Doors
BLE_ELES,BLE_FLR_LVL_NR,d794c645-b8c7-5465-82d3-2cd1a64a061c,NUMBER,Instance,FLOORLEVEL,Windows
BLE_ELES,BLE_FLR_MOISTURE_BARRIER_REQUIRED_BOOL,355e3ff6-e5e5-586e-8dfd-5129c51f3f77,YESNO,Type,MOISTUREBARRIERREQUIRED,Doors
BLE_ELES,BLE_FLR_MOISTURE_BARRIER_REQUIRED_BOOL,355e3ff6-e5e5-586e-8dfd-5129c51f3f77,YESNO,Type,MOISTUREBARRIERREQUIRED,Windows
BLE_ELES,BLE_FLR_PERIMETER_DETAIL_TYPE_TXT,117ee33a-b373-5527-bc26-66b0fb80b6b7,TEXT,Type,PERIMETERDETAILTYPE,Doors
BLE_ELES,BLE_FLR_PERIMETER_DETAIL_TYPE_TXT,117ee33a-b373-5527-bc26-66b0fb80b6b7,TEXT,Type,PERIMETERDETAILTYPE,Windows
BLE_ELES,BLE_FLR_RAISED_ACCESS_FLR_TXT,7cc3cdf7-5f94-5ef8-9509-47c5fe1922d2,TEXT,Type,RAISEDACCESSFLOOR,Doors
BLE_ELES,BLE_FLR_RAISED_ACCESS_FLR_TXT,7cc3cdf7-5f94-5ef8-9509-47c5fe1922d2,TEXT,Type,RAISEDACCESSFLOOR,Windows
BLE_ELES,BLE_FLR_RAISED_FLR_HEIGHT_MM,1396e2c7-8f70-5754-b125-1bddd38b514b,LENGTH,Type,RAISEDFLOORHEIGHT(MM),Doors
BLE_ELES,BLE_FLR_RAISED_FLR_HEIGHT_MM,1396e2c7-8f70-5754-b125-1bddd38b514b,LENGTH,Type,RAISEDFLOORHEIGHT(MM),Windows
BLE_ELES,BLE_FLR_SLIP_RESISTANCE_RATING_NR,8587af48-41e4-551b-b127-47fbfba712da,NUMBER,Type,SLIPRESISTANCERATING,Doors
BLE_ELES,BLE_FLR_SLIP_RESISTANCE_RATING_NR,8587af48-41e4-551b-b127-47fbfba712da,NUMBER,Type,SLIPRESISTANCERATING,Windows
BLE_ELES,BLE_FLR_STRUCTURAL_SYSTEM_TXT,6fd7e2d6-1471-58dd-9226-6424a5ca3072,TEXT,Type,STRUCTURALSYSTEM(SLAB/RAISED/SUSPENDED),Doors
BLE_ELES,BLE_FLR_STRUCTURAL_SYSTEM_TXT,6fd7e2d6-1471-58dd-9226-6424a5ca3072,TEXT,Type,STRUCTURALSYSTEM(SLAB/RAISED/SUSPENDED),Windows
BLE_ELES,BLE_FLR_THICKNESS_MM,4e849c26-5bfe-5ca2-bb5a-aa39e03e31bb,LENGTH,Type,FLOORTHICKNESS(MM),Doors
BLE_ELES,BLE_FLR_THICKNESS_MM,4e849c26-5bfe-5ca2-bb5a-aa39e03e31bb,LENGTH,Type,FLOORTHICKNESS(MM),Windows
BLE_ELES,BLE_FLR_TYPE_CLASSIFICATION_TXT,163aec51-823d-59e4-86b0-3e2e35d90aac,TEXT,Type,FLOORTYPECLASSIFICATION,Doors
BLE_ELES,BLE_FLR_TYPE_CLASSIFICATION_TXT,163aec51-823d-59e4-86b0-3e2e35d90aac,TEXT,Type,FLOORTYPECLASSIFICATION,Windows
BLE_ELES,BLE_FLR_UNDERFLR_HEATING_SYSTEM_TXT,48669ab0-15cd-551e-9acd-0ff5645e8522,TEXT,Type,UNDERFLOORHEATINGSYSTEM,Doors
BLE_ELES,BLE_FLR_UNDERFLR_HEATING_SYSTEM_TXT,48669ab0-15cd-551e-9acd-0ff5645e8522,TEXT,Type,UNDERFLOORHEATINGSYSTEM,Windows
BLE_ELES,BLE_LOAD_BEARING_ELE_BOOL,c030212c-74eb-5f11-9bf2-7fa34fac598f,YESNO,Type,LOADBEARINGELEMENT,Doors
BLE_ELES,BLE_LOAD_BEARING_ELE_BOOL,c030212c-74eb-5f11-9bf2-7fa34fac598f,YESNO,Type,LOADBEARINGELEMENT,Structural Columns
BLE_ELES,BLE_LOAD_BEARING_ELE_BOOL,c030212c-74eb-5f11-9bf2-7fa34fac598f,YESNO,Type,LOADBEARINGELEMENT,Structural Framing
BLE_ELES,BLE_LOAD_BEARING_ELE_BOOL,c030212c-74eb-5f11-9bf2-7fa34fac598f,YESNO,Type,LOADBEARINGELEMENT,Windows
BLE_ELES,BLE_RAMP_HANDRAIL_BOTH_SIDES_TXT,7f7db474-e09f-54de-8dd2-a29cb74a4463,TEXT,Type,HANDRAILSBOTHSIDESREQUIRED,Doors
BLE_ELES,BLE_RAMP_HANDRAIL_BOTH_SIDES_TXT,7f7db474-e09f-54de-8dd2-a29cb74a4463,TEXT,Type,HANDRAILSBOTHSIDESREQUIRED,Windows
BLE_ELES,BLE_RAMP_SLOPE_PCT,d0e7a861-94a5-5014-b190-7d3d5a58a5b7,NUMBER,Type,Ramp Slope (%),Doors
BLE_ELES,BLE_RAMP_SLOPE_PCT,d0e7a861-94a5-5014-b190-7d3d5a58a5b7,NUMBER,Type,Ramp Slope (%),Windows
BLE_ELES,BLE_RAMP_SURFACE_FINISH_TXT,72b1ed50-5119-5269-9367-0f1a832c8af9,TEXT,Type,RAMPSURFACEFINISH,Doors
BLE_ELES,BLE_RAMP_SURFACE_FINISH_TXT,72b1ed50-5119-5269-9367-0f1a832c8af9,TEXT,Type,RAMPSURFACEFINISH,Windows
BLE_ELES,BLE_RAMP_WIDTH_MM,2d201a03-f8c9-5ba5-acbc-37d9452cf3a7,LENGTH,Type,RAMPWIDTH(MM),Doors
BLE_ELES,BLE_RAMP_WIDTH_MM,2d201a03-f8c9-5ba5-acbc-37d9452cf3a7,LENGTH,Type,RAMPWIDTH(MM),Windows
BLE_ELES,BLE_ROOF_CLR_TXT,bad2c4e9-2166-5685-9cb5-c0dfd4b0832d,TEXT,Type,ROOFCOLOR,Doors
BLE_ELES,BLE_ROOF_CLR_TXT,bad2c4e9-2166-5685-9cb5-c0dfd4b0832d,TEXT,Type,ROOFCOLOR,Windows
BLE_ELES,BLE_ROOF_DOWNPPE_SZ_MM,0593605e-34af-58ad-a721-1812417ba5db,LENGTH,Type,DOWNPIPESIZE(MM),Doors
