ParameterGroup,ParameterName,GUID,DataType,BindingType,Description,RevitCategory
ASS_MNG,ASS_CRITICALITY_RATING_NR,fbbf5b6d-776a-58e2-a3ce-cbd9fbfe3f93,NUMBER,Type,ASSETCRITICALITYRATING,Plumbing Fixtures
ASS_MNG,ASS_CRITICALITY_RATING_NR,fbbf5b6d-776a-58e2-a3ce-cbd9fbfe3f93,NUMBER,Type,ASSETCRITICALITYRATING,Specialty Equipment
ASS_MNG,ASS_CST_ANNUAL_MAINTENANCE_UGX_NR,7523cd2c-274a-51bd-aa48-38df40b8f075,CURRENCY,Type,ANNUALMAINTENANCECOST(UGX),Casework
ASS_MNG,ASS_CST_ANNUAL_MAINTENANCE_UGX_NR,7523cd2c-274a-51bd-aa48-38df40b8f075,CURRENCY,Type,ANNUALMAINTENANCECOST(UGX),Electrical Equipment
ASS_MNG,ASS_CST_ANNUAL_MAINTENANCE_UGX_NR,7523cd2c-274a-51bd-aa48-38df40b8f075,CURRENCY,Type,ANNUALMAINTENANCECOST(UGX),Furniture
ASS_MNG,ASS_CST_ANNUAL_MAINTENANCE_UGX_NR,7523cd2c-274a-51bd-aa48-38df40b8f075,CURRENCY,Type,ANNUALMAINTENANCECOST(UGX),Generic Models
ASS_MNG,ASS_CST_ANNUAL_MAINTENANCE_UGX_NR,7523cd2c-274a-51bd-aa48-38df40b8f075,CURRENCY,Type,ANNUALMAINTENANCECOST(UGX),Mechanical Equipment
ASS_MNG,ASS_CST_ANNUAL_MAINTENANCE_UGX_NR,7523cd2c-274a-51bd-aa48-38df40b8f075,CURRENCY,Type,ANNUALMAINTENANCECOST(UGX),Plumbing Fixtures
ASS_MNG,ASS_CST_ANNUAL_MAINTENANCE_UGX_NR,7523cd2c-274a-51bd-aa48-38df40b8f075,CURRENCY,Type,ANNUALMAINTENANCECOST(UGX),Specialty Equipment
ASS_MNG,ASS_DEPARTMENT_ASSIGNMENT_TXT,f6d2f12b-d9af-5383-86c3-a3c3c937083d,TEXT,Type,DEPARTMENTASSIGNMENT,Casework
ASS_MNG,ASS_DEPARTMENT_ASSIGNMENT_TXT,f6d2f12b-d9af-5383-86c3-a3c3c937083d,TEXT,Type,DEPARTMENTASSIGNMENT,Electrical Equipment
ASS_MNG,ASS_DEPARTMENT_ASSIGNMENT_TXT,f6d2f12b-d9af-5383-86c3-a3c3c937083d,TEXT,Type,DEPARTMENTASSIGNMENT,Furniture
ASS_MNG,ASS_DEPARTMENT_ASSIGNMENT_TXT,f6d2f12b-d9af-5383-86c3-a3c3c937083d,TEXT,Type,DEPARTMENTASSIGNMENT,Generic Models
ASS_MNG,ASS_DEPARTMENT_ASSIGNMENT_TXT,f6d2f12b-d9af-5383-86c3-a3c3c937083d,TEXT,Type,DEPARTMENTASSIGNMENT,Mechanical Equipment
ASS_MNG,ASS_DEPARTMENT_ASSIGNMENT_TXT,f6d2f12b-d9af-5383-86c3-a3c3c937083d,TEXT,Type,DEPARTMENTASSIGNMENT,Plumbing Fixtures
