PARAMETER_NAME,GUID,DATATYPE,GROUP,DESCRIPTION
MAT_LAYER_2_THICKNESS_MM,273ae5c0-1913-51c2-8415-5263b0c83606,LENGTH,MAT_INFO,Mat Layer 2 Thickness Mm [ISO 19650-1:2018]
MAT_LAYER_3_FUNCTION,12dc3e9a-4e10-5d90-8238-f03a7e719ada,TEXT,MAT_INFO,Mat Layer 3 Function [ISO 19650-1:2018]
MAT_LAYER_3_MATERIAL,20281f20-2ca0-549c-8720-4426956630fc,TEXT,MAT_INFO,Mat Layer 3 Material [ISO 19650-1:2018]
MAT_LAYER_3_THICKNESS_MM,0319ac70-dfa2-5e93-b765-aa9ea543bf0f,LENGTH,MAT_INFO,Mat Layer 3 Thickness Mm [ISO 19650-1:2018]
MAT_LAYER_4_FUNCTION,3bc551ba-bd2b-5a28-8080-3d5d069ee07d,TEXT,MAT_INFO,Mat Layer 4 Function [ISO 19650-1:2018]
MAT_LAYER_4_MATERIAL,646ebf48-0f81-5596-bc9e-e404360ba703,TEXT,MAT_INFO,Mat Layer 4 Material [ISO 19650-1:2018]
MAT_LAYER_4_THICKNESS_MM,d2f81f83-7867-51fb-9a06-a9e58f75f14a,LENGTH,MAT_INFO,Mat Layer 4 Thickness Mm [ISO 19650-1:2018]
MAT_LAYER_5_FUNCTION,7b72e860-4a66-5cce-ac4a-2ea5e638ff8f,TEXT,MAT_INFO,Mat Layer 5 Function [ISO 19650-1:2018]
MAT_LAYER_5_MATERIAL,2f0dac90-cbfa-5c9f-a41c-2e9959c7c97a,TEXT,MAT_INFO,Mat Layer 5 Material [ISO 19650-1:2018]
MAT_LAYER_5_THICKNESS_MM,70322b56-805e-5cc0-b939-0baea195fb6f,LENGTH,MAT_INFO,Mat Layer 5 Thickness Mm [ISO 19650-1:2018]
MAT_LAYER_COUNT,e181d31f-030c-5caf-8486-85070edf4eaf,INTEGER,MAT_INFO,Mat Layer Count [ISO 19650-1:2018]
MAT_LOCATION,77673d78-89cd-5919-8d96-e0ed6d6519ed,TEXT,MAT_INFO,Mat Location [ISO 19650-1:2018]
MAT_MANUFACTURER,66307eed-372a-5804-9c95-6866cceb503a,TEXT,MAT_INFO,Mat Manufacturer [ISO 19650-1:2018]
MAT_NAME,819a8cc6-a552-5649-921f-3b6e494c49d7,TEXT,MAT_INFO,Mat Name [ISO 19650-1:2018]
MAT_SPECIFICATIONS,0efc1f0f-a86a-5088-9305-8839f35d8acc,TEXT,MAT_INFO,Mat Specifications [ISO 19650-1:2018]
MAT_STANDARD,f7b7a311-f04b-5859-998e-e88295f4badc,TEXT,MAT_INFO,Mat Standard [ISO 19650-1:2018]
MAT_THICKNESS_INCH,77700220-09d7-5b22-b67c-282123db6b2d,LENGTH,MAT_INFO,Mat Thickness Inch [ISO 19650-1:2018]
MAT_THICKNESS_MM,34c84ad4-3a5c-5222-9abb-981bf9b53980,LENGTH,MAT_INFO,Mat Thickness Mm [ISO 19650-1:2018]
PROP_ACOUSTIC_ABS,cc5ae04e-b64b-5d57-9030-22f14dfff3a0,TEXT,PROP_PHYSICAL,Prop Acoustic Abs [ISO 19650-1:2018]
PROP_CARBON_KG_M3,8bdda9f1-dd26-5488-a045-df664f1e055a,VOLUME,PROP_PHYSICAL,Prop Carbon Kg M3 [ISO 19650-1:2018]
PROP_COMP_STRENGTH_MPA,e185941c-6778-5b9f-97ea-3f1d4bd74b9a,NUMBER,PROP_PHYSICAL,Prop Comp Strength Mpa [ISO 19650-1:2018]
MAT_COST_UGX,1ffd7a5b-353c-5634-bfe1-1a32c7ab44a1,CURRENCY,MAT_INFO,Mat Cost Ugx [ISO 19650-1:2018]
MAT_COST_USD,2dc13319-9225-58b5-9904-d9dc5455dcb0,CURRENCY,MAT_INFO,Mat Cost Usd [ISO 19650-1:2018]
PROP_DENSITY_KG_M3,7ac2667c-733e-5427-a646-4114c1d5d966,VOLUME,PROP_PHYSICAL,Prop Density Kg M3 [ISO 19650-1:2018]
PROP_FIRE_RATING,e9f9cfd6-e086-5eff-93a3-97eb552693a1,TEXT,PROP_PHYSICAL,Prop Fire Rating [ISO 19650-1:2018]
PROP_SOUND_RED_DB,0e0af49b-5fd9-51bb-8273-cb04161067de,NUMBER,PROP_PHYSICAL,Prop Sound Red Db [ISO 19650-1:2018]
PROP_SPECIFIC_HEAT_J_KGK,a495e29d-48f0-53a6-90f9-f51e283454e0,NUMBER,PROP_PHYSICAL,Prop Specific Heat J Kgk [ISO 19650-1:2018]
PROP_TENS_STRENGTH_MPA,1545e81b-0197-59e2-a346-ae418f64b5ad,NUMBER,PROP_PHYSICAL,Prop Tens Strength Mpa [ISO 19650-1:2018]
PROP_THERMAL_COND_W_MK,7a67eea7-6c74-56ea-bf6e-2cb506aef2b6,NUMBER,PROP_PHYSICAL,Prop Thermal Cond W Mk [ISO 19650-1:2018]
PROP_THERMAL_RES_M2K_W,7c46e3c8-c6d8-5b39-9e25-2ccd795886ee,AREA,PROP_PHYSICAL,Prop Thermal Res M2k W [ISO 19650-1:2018]
